"","X","rep","processing","sweetener","tiempo","compound","concentration","Temp"
"48","SUP_rep2","rep2","P","SU",8.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.48,20
"49","ST1_rep3","rep3","1","ST",8.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.97,4
"50","ST2_rep3","rep3","2","ST",8.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.13,20
"51","STP_rep3","rep3","P","ST",8.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.78,4
"52","SU1_rep3","rep3","1","SU",8.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.22,20
"53","SU2_rep3","rep3","2","SU",8.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.8,4
"54","SUP_rep3","rep3","P","SU",8.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.39,20
"55","ST1_rep1","rep1","1","ST",16.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.72,4
"56","ST2_rep1","rep1","2","ST",16.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",3.74,20
"57","STP_rep1","rep1","P","ST",16.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.72,4
"58","SU1_rep1","rep1","1","SU",16.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",3.61,20
"59","SU2_rep1","rep1","2","SU",16.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.82,4
"60","SUP_rep1","rep1","P","SU",16.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",2.24,20
"61","ST1_rep2","rep2","1","ST",16.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.73,4
"62","ST2_rep2","rep2","2","ST",16.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",3.65,20
"63","STP_rep2","rep2","P","ST",16.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.91,4
"64","SU1_rep2","rep2","1","SU",16.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",3.75,20
"65","SU2_rep2","rep2","2","SU",16.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.6,4
"66","SUP_rep2","rep2","P","SU",16.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.49,20
"67","ST1_rep3","rep3","1","ST",16.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.65,4
"68","ST2_rep3","rep3","2","ST",16.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.15,20
"69","STP_rep3","rep3","P","ST",16.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.84,4
"70","SU1_rep3","rep3","1","SU",16.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",3.51,20
"71","SU2_rep3","rep3","2","SU",16.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.64,4
"72","SUP_rep3","rep3","P","SU",16.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",3.68,20
"73","ST1_rep1","rep1","1","ST",31.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.32,4
"74","ST2_rep1","rep1","2","ST",31.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",2.68,20
"75","STP_rep1","rep1","P","ST",31.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.4,4
"76","SU1_rep1","rep1","1","SU",31.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",2.53,20
"77","SU2_rep1","rep1","2","SU",31.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.5,4
"78","SUP_rep1","rep1","P","SU",31.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",2.67,20
"79","ST1_rep2","rep2","1","ST",31.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.42,4
"80","ST2_rep2","rep2","2","ST",31.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",2.72,20
"81","STP_rep2","rep2","P","ST",31.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.61,4
"82","SU1_rep2","rep2","1","SU",31.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",2.52,20
"83","SU2_rep2","rep2","2","SU",31.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.35,4
"84","SUP_rep2","rep2","P","SU",31.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",3,20
"85","ST1_rep3","rep3","1","ST",31.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.52,4
"86","ST2_rep3","rep3","2","ST",31.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",2.64,20
"87","STP_rep3","rep3","P","ST",31.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.63,4
"88","SU1_rep3","rep3","1","SU",31.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",2.63,20
